,block,warp
0,44.4212,0.335936
1,0.188859,0.0701277
2,0.151649,0.0480721
3,0.226066,0.0411105
4,0.142678,0.0362964
5,0.136957,0.0407875
6,0.15932,0.0326548
7,0.140554,0.0385892
8,0.138884,0.0426357
9,0.144967,0.0484569
10,0.138852,0.0542362
11,0.215926,0.0606091
12,0.143871,0.0625744
13,0.143365,0.0662401
14,0.214535,0.0702226
15,0.145077,0.0757749
16,0.138614,0.0825653
17,0.171607,0.0842919
18,0.138189,0.0882933
19,0.140353,0.0917466
20,0.154979,0.0968642
21,0.138171,0.096982
22,0.192538,0.103348
23,0.143209,0.105948
24,0.140983,0.106668
25,0.210208,0.114645
26,0.145826,0.110684
27,0.147848,0.118635
28,0.160416,0.119762
29,0.167867,0.118129
30,0.188238,0.124692
31,0.190831,0.131218
32,9.49451,0.0
